단어,빈도수
뼘,3
가구,3
악취,3
싸락눈,3
시종,3
비루,3
콧노래,3
정차,3
목쉰,3
숫,3
시내버스,3
호실,3
기적,3
늑대,3
삼각대,3
랗,3
폐쇄된,3
훌쩍,3
닌,3
멀티,3
나뭇가지,3
삼천원,3
곧바로,3
빗,3
시차,3
퍼뜩,3
천원,3
수효,3
료,3
이부자리,3
정부,3
굉음,3
미심,3
무력감,3
와이퍼,3
실물,3
이목구비,3
찬밥,3
깍지,3
꿰,3
거푸,3
산다,3
완,3
티,3
거세,3
요구,3
맺힌,3
미래,3
명치,3
침목,3
여장,3
짊,3
아유,3
이로,3
일어나지,3
열중,3
막내,3
옆모습,3
고객,3
체구,3
다변,3
수포,3
하니,3
타래,3
학생,3
미로,3
마구,3
었던,3
철길,3
탈선,3
광대뼈,3
청주,3
휴가,3
경,3
시계탑,3
기간,3
백화점,3
짬,3
오징어,3
팽,3
무성,3
한기,3
근육,3
배달,3
청색,3
물감,3
방패연,3
결심,3
뜸,3
트렌치코트,3
모기,3
시원,3
고여,3
여름밤,3
성품,3
해결,3
지능,3
가세,3
인사말,3
숨기,3
볕,3
모종,3
들판,3
번의,3
여간,3
행인,3
주택가,3
젓가락,3
숙식,3
불벌레,3
발목,3
새우,3
추궁,3
해지,3
체념,3
배반,3
두코,3
량,3
박,3
광장,3
배웅,3
야근,3
수백,3
익,3
가로,3
떨기,3
매표원,3
프린트,3
편의,3
마감,3
