단어,빈도수
묘,6
보호자,6
읍내,6
아픈,6
부담,6
좌절,6
빼어,6
읽은,6
이루고,6
다기,6
순식간,6
미끄러져,6
흰자위,6
내장,6
부정,6
돋아,6
차려,6
대기,6
일면,6
이미지,6
찾,6
삼아,6
보내는,6
내려놓았다,6
토요일,6
깃,6
경련,6
웃으며,6
희고,6
누운,6
깨어진,6
덜,6
셔츠,6
감싼,6
고도,6
후락,6
담요,6
떠나고,6
떠났다,6
착각,6
증명사진,6
찾아온,6
액,6
책꽂이,6
현재,6
들어갔을,6
벽지,6
였을,6
담아,6
당부,6
4월,6
차마,6
탁한,6
쥔,6
예상,6
살았던,6
목숨,6
드리워진,6
가본,6
혀끝,6
거절,6
요새,6
서야,6
싶을,6
현장,6
봉지,6
뭉,6
집고,6
그렇듯,6
전시,6
된다는,6
않았는데,6
쉴,6
힘껏,6
올린,6
꼬,6
잠들,6
깔깔,6
더미,6
죽여,6
되기,6
학적,6
겹겹이,6
보상금,6
간판,6
였,6
부르는,6
나지,6
고쳐,6
맞는,6
계절,6
흐느끼,6
물살,6
가다가,6
어서,6
들여다보았다,6
뿜,6
물끄러미,6
보게,6
찾아냈다,6
뜨,6
무심한,6
마리,6
있겠니,6
억지로,6
교복,6
실린,6
덮여,6
외출,6
백치,6
스무,6
넋두리,6
할까,6
저물,6
내려다보고,6
올랐다,6
떠나기,6
장종,6
허기,6
나타난,6
신발,6
흘렀다,6
초조한,6
뚫고,6
알아요,6
기쁨,6
엇,6
에게도,6
축,6
넣고,6
급,6
상투,6
투명한,6
그걸,6
샀다,6
깔린,6
아마도,6
뱉듯이,6
뇌까렸다,6
무작정,6
느릿느릿,6
얇은,6
아궁이,6
잊을,6
대지,6
소주,6
젊음,6
비어,6
칸,6
눈썹,6
살던,6
종류,6
포말,6
환한,6
이상하게,6
집중,6
않았지만,6
망설이다가,6
어쨌든,6
읽었다,6
색깔,6
욱,6
진저리,6
얼마간,6
들었을,6
또다른,6
이는,6
멋,6
나왔을,6
목적지,6
알아보지,6
더러는,6
약한,6
허벅지,6
더니,6
장갑,6
떨,6
넘는,6
현상,6
한동안,6
형편,6
교,6
대단한,6
들어와,6
돌아가는,6
스위치,6
자위,6
튀어,6
지났을,6
찻집,6
대의,6
일대,6
취해,6
저런,6
잡았다,6
담담한,6
입니다,6
비닐봉지,6
제나,6
버티고,6
토박이,6
맡에,6
나로,6
꽉,6
명령,6
슬리퍼,6
달았다,6
같으면,6
봉투,6
좌,6
가볍게,6
얼음장,6
정지,6
덕분,6
영원히,6
일로,6
으로도,6
제기랄,6
